iter	Passed	Remaining
0	60	60472
1	62	31076
2	64	21340
3	66	16484
4	68	13661
5	70	11698
6	72	10267
7	74	9186
8	76	8389
9	77	7714
10	79	7185
11	81	6737
12	83	6340
13	85	6033
14	87	5736
15	89	5483
16	91	5268
17	93	5073
18	95	4918
19	97	4754
20	106	4949
21	111	4949
22	114	4867
23	116	4745
24	118	4613
25	120	4503
26	122	4422
27	125	4360
28	132	4450
29	135	4379
30	137	4296
31	139	4213
32	141	4160
33	144	4091
34	146	4025
35	148	3983
36	150	3920
37	152	3862
38	164	4063
39	168	4035
40	176	4137
41	179	4091
42	182	4055
43	184	4008
44	186	3964
45	188	3910
46	190	3870
47	192	3824
48	194	3777
49	196	3730
50	198	3690
51	200	3651
52	202	3610
53	205	3592
54	207	3560
55	208	3521
56	211	3491
57	212	3454
58	215	3432
59	220	3457
60	223	3439
61	225	3414
62	231	3437
63	234	3424
64	236	3400
65	238	3373
66	240	3342
67	240	3302
68	242	3275
69	245	3256
70	246	3229
71	248	3203
72	250	3178
73	252	3155
74	253	3129
75	255	3107
76	257	3082
77	259	3063
78	261	3046
79	263	3025
80	264	3002
81	266	2980
82	269	2974
83	271	2957
84	273	2944
85	276	2933
86	277	2911
87	279	2896
88	281	2884
89	283	2865
90	285	2852
91	287	2832
92	288	2816
93	290	2800
94	292	2785
95	294	2771
96	296	2763
97	298	2750
98	300	2733
99	302	2719
100	303	2704
101	304	2682
102	306	2667
103	308	2653
104	309	2639
105	311	2625
106	313	2612
107	314	2598
108	316	2588
109	318	2575
110	320	2564
111	322	2556
112	324	2546
113	326	2533
114	327	2521
115	330	2515
116	332	2512
117	335	2506
118	336	2493
119	338	2482
120	341	2480
121	343	2470
122	344	2454
123	345	2442
124	347	2433
125	349	2427
126	352	2420
127	353	2407
128	355	2402
129	358	2396
130	360	2388
131	363	2387
132	367	2394
133	370	2393
134	372	2383
135	374	2376
136	375	2366
137	377	2357
138	379	2349
139	380	2340
140	382	2332
141	384	2324
142	386	2314
143	387	2305
144	390	2300
145	391	2292
146	393	2284
147	395	2276
148	397	2270
149	399	2263
150	401	2259
151	404	2257
152	407	2256
153	409	2249
154	411	2243
155	413	2235
156	414	2227
157	416	2220
158	418	2212
159	420	2205
160	424	2214
161	426	2207
162	428	2201
163	434	2212
164	448	2270
165	451	2268
166	455	2270
167	465	2303
168	468	2301
169	470	2296
170	476	2311
171	493	2375
172	496	2372
173	513	2438
174	519	2448
175	528	2473
176	531	2472
177	538	2486
178	542	2488
179	552	2515
180	554	2507
181	556	2503
182	561	2504
183	563	2500
184	570	2514
185	574	2512
186	577	2509
187	592	2557
188	602	2584
189	609	2596
190	612	2594
191	615	2591
192	619	2591
193	645	2681
194	661	2731
195	665	2731
196	676	2757
197	680	2755
198	720	2899
199	725	2900
200	733	2914
201	738	2916
202	741	2912
203	748	2920
204	753	2922
205	758	2923
206	761	2918
207	765	2914
208	769	2912
209	772	2907
210	775	2898
211	777	2890
212	779	2881
213	781	2871
214	784	2863
215	786	2856
216	789	2847
217	790	2837
218	793	2829
219	796	2822
220	798	2813
221	801	2807
222	804	2801
223	806	2793
224	808	2783
225	811	2779
226	815	2778
227	822	2785
228	825	2778
229	828	2773
230	832	2770
231	835	2766
232	837	2758
233	840	2749
234	842	2743
235	844	2735
236	847	2727
237	850	2723
238	854	2719
239	856	2711
240	858	2704
241	861	2699
242	864	2693
243	867	2688
244	870	2683
245	873	2676
246	882	2689
247	885	2686
248	890	2686
249	895	2685
250	898	2681
251	901	2676
252	910	2688
253	913	2681
254	916	2677
255	919	2671
256	922	2666
257	925	2662
258	928	2655
259	930	2648
260	934	2645
261	937	2640
262	941	2637
263	944	2632
264	947	2627
265	954	2634
266	958	2631
267	960	2623
268	962	2614
269	964	2607
270	967	2601
271	969	2595
272	971	2587
273	976	2587
274	981	2588
275	988	2593
276	992	2589
277	1001	2602
278	1007	2603
279	1009	2596
280	1028	2631
281	1045	2662
282	1048	2656
283	1067	2691
284	1071	2687
285	1079	2694
286	1082	2689
287	1091	2699
288	1132	2785
289	1135	2779
290	1141	2780
291	1146	2779
292	1148	2772
293	1151	2764
294	1156	2762
295	1159	2756
296	1161	2749
297	1165	2745
298	1169	2742
299	1173	2739
300	1176	2732
301	1180	2728
302	1186	2729
303	1190	2725
304	1194	2722
305	1200	2721
306	1202	2714
307	1204	2706
308	1207	2701
309	1223	2723
310	1233	2732
311	1235	2725
312	1248	2740
313	1252	2737
314	1262	2746
315	1272	2755
316	1284	2768
317	1291	2770
318	1301	2778
319	1304	2771
320	1307	2765
321	1310	2758
322	1313	2752
323	1316	2746
324	1319	2739
325	1323	2736
326	1326	2730
327	1331	2728
328	1340	2733
329	1343	2728
330	1346	2721
331	1351	2719
332	1361	2726
333	1373	2739
334	1391	2762
335	1394	2756
336	1408	2770
337	1424	2789
338	1427	2782
339	1430	2777
340	1451	2805
341	1455	2800
342	1459	2796
343	1469	2801
344	1472	2795
345	1476	2790
346	1489	2802
347	1493	2798
348	1500	2799
349	1503	2792
350	1509	2790
351	1512	2784
352	1518	2783
353	1523	2780
354	1527	2776
355	1530	2769
356	1550	2793
357	1553	2786
358	1555	2778
359	1560	2773
360	1563	2767
361	1566	2760
362	1569	2753
363	1572	2747
364	1577	2744
365	1581	2738
366	1583	2730
367	1585	2723
368	1590	2720
369	1594	2714
370	1616	2740
371	1629	2750
372	1633	2745
373	1638	2743
374	1641	2736
375	1644	2729
376	1650	2727
377	1662	2735
378	1665	2728
379	1681	2743
380	1688	2743
381	1695	2742
382	1700	2739
383	1706	2736
384	1710	2731
385	1712	2723
386	1720	2725
387	1725	2722
388	1728	2714
389	1740	2722
390	1744	2717
391	1750	2714
392	1754	2709
393	1757	2703
394	1770	2711
395	1772	2703
396	1774	2695
397	1777	2687
398	1780	2681
399	1782	2673
400	1787	2669
401	1795	2670
402	1799	2666
403	1803	2660
404	1806	2654
405	1809	2647
406	1811	2639
407	1814	2632
408	1816	2625
409	1820	2619
410	1823	2613
411	1826	2607
412	1829	2599
413	1832	2593
414	1835	2586
415	1837	2579
416	1839	2572
417	1842	2565
418	1845	2558
419	1848	2552
420	1852	2548
421	1855	2541
422	1859	2537
423	1861	2529
424	1863	2521
425	1865	2513
426	1867	2506
427	1870	2499
428	1872	2491
429	1875	2486
430	1878	2479
431	1883	2475
432	1885	2469
433	1892	2467
434	1896	2463
435	1900	2458
436	1907	2457
437	1913	2455
438	1917	2450
439	1920	2444
440	1922	2437
441	1925	2430
442	1927	2423
443	1929	2416
444	1931	2409
445	1933	2401
446	1935	2394
447	1937	2387
448	1939	2379
449	1941	2373
450	1943	2366
451	1954	2369
452	1958	2365
453	1967	2365
454	1972	2362
455	1984	2367
456	1992	2367
457	1996	2362
458	2000	2357
459	2004	2353
460	2008	2348
461	2011	2342
462	2014	2336
463	2019	2332
464	2022	2327
465	2029	2325
466	2040	2328
467	2043	2323
468	2046	2317
469	2049	2310
470	2052	2305
471	2054	2298
472	2056	2291
473	2059	2285
474	2062	2279
475	2065	2274
476	2068	2268
477	2070	2261
478	2072	2254
479	2078	2251
480	2080	2245
481	2083	2238
482	2085	2232
483	2088	2226
484	2090	2219
485	2091	2212
486	2093	2205
487	2095	2198
488	2100	2195
489	2112	2198
490	2115	2193
491	2117	2186
492	2119	2179
493	2122	2173
494	2124	2167
495	2126	2160
496	2128	2153
497	2129	2146
498	2131	2140
499	2133	2133
500	2135	2126
501	2136	2119
502	2138	2113
503	2140	2106
504	2142	2099
505	2143	2092
506	2145	2086
507	2148	2081
508	2150	2074
509	2152	2068
510	2161	2068
511	2163	2062
512	2166	2057
513	2169	2051
514	2172	2045
515	2175	2040
516	2177	2034
517	2179	2028
518	2181	2021
519	2183	2015
520	2185	2008
521	2186	2002
522	2188	1996
523	2190	1990
524	2192	1983
525	2194	1977
526	2196	1971
527	2198	1964
528	2199	1958
529	2201	1952
530	2203	1945
531	2205	1939
532	2206	1933
533	2208	1927
534	2210	1921
535	2214	1917
536	2217	1911
537	2219	1906
538	2221	1900
539	2225	1895
540	2227	1889
541	2229	1884
542	2232	1879
543	2234	1872
544	2235	1866
545	2237	1860
546	2239	1854
547	2241	1848
548	2242	1842
549	2244	1836
550	2246	1830
551	2248	1825
552	2252	1820
553	2254	1815
554	2257	1810
555	2260	1804
556	2262	1799
557	2263	1793
558	2265	1787
559	2267	1781
560	2271	1777
561	2273	1771
562	2277	1767
563	2279	1762
564	2281	1756
565	2282	1750
